Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Num_Platforms,Exclusive
256,Asteroids,2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31,2,0
541,Missile Command,2600,1980,Shooter,Atari,2.56,0.17,0.0,0.03,2.76,2,0
1743,Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0.0,0.01,1.15,1,1
1945,Defender,2600,1980,Misc,Atari,0.99,0.05,0.0,0.01,1.05,4,0
2622,Boxing,2600,1980,Fighting,Activision,0.72,0.04,0.0,0.01,0.77,2,0
3966,Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0.0,0.01,0.49,2,0
5273,Freeway,2600,1980,Action,Activision,0.32,0.02,0.0,0.0,0.34,1,1
6168,Bridge,2600,1980,Misc,Activision,0.25,0.02,0.0,0.0,0.27,1,1
6669,Checkers,2600,1980,Misc,Atari,0.22,0.01,0.0,0.0,0.24,1,1
239,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5,1,1
725,Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2,2,0
758,Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0.0,0.02,2.13,1,1
849,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0.0,0.02,1.97,1,1
1097,Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0.0,0.02,1.65,1,1
1137,River Raid,2600,1981,Shooter,Activision,1.49,0.09,0.0,0.02,1.6,1,1
1286,Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0.0,0.02,1.46,3,0
1409,Centipede,2600,1981,Shooter,Atari,1.26,0.08,0.0,0.01,1.36,2,0
1534,Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27,1,1
1828,Megamania,2600,1981,Shooter,Activision,1.03,0.06,0.0,0.01,1.1,1,1
1946,Cosmic Ark,2600,1981,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05,1,1
2103,Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0.0,0.01,0.97,1,1
2191,Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0.0,0.01,0.93,3,0
2470,Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0.0,0.01,0.82,1,1
2559,Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79,1,1
2623,Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77,1,1
2755,Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0.0,0.01,0.73,1,1
2902,King Kong,2600,1981,Action,Tigervision,0.65,0.04,0.0,0.01,0.69,1,1
2967,Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,1,1
3337,BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59,1,1
3338,Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0.0,0.01,0.59,1,1
3896,Raiders of the Lost Ark,2600,1981,Action,Atari,0.46,0.03,0.0,0.01,0.5,1,1
4029,Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0.0,0.0,0.48,1,1
4252,Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0.0,0.0,0.45,1,1
4253,Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0.0,0.0,0.45,1,1
4432,Barnstorming,2600,1981,Action,Activision,0.4,0.02,0.0,0.0,0.43,1,1
4715,Mouse Trap,2600,1981,Action,Coleco,0.38,0.02,0.0,0.0,0.4,1,1
4810,Laser Blast,2600,1981,Action,Activision,0.37,0.02,0.0,0.0,0.39,1,1
4811,Airlock,2600,1981,Action,Data Age,0.36,0.02,0.0,0.0,0.39,1,1
5011,Dragonfire,2600,1981,Action,Imagic,0.35,0.02,0.0,0.0,0.37,1,1
5091,Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36,1,1
5274,Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34,1,1
5275,Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0.0,0.0,0.34,1,1
5363,Fireball,2600,1981,Action,Starpath Corp.,0.3,0.02,0.0,0.0,0.33,1,1
5619,Astroblast,2600,1981,Action,Mattel Interactive,0.29,0.02,0.0,0.0,0.31,1,1
5867,Fast Food,2600,1981,Action,Unknown,0.27,0.02,0.0,0.0,0.29,1,1
6341,RealSports Football,2600,1981,Sports,Atari,0.24,0.01,0.0,0.0,0.26,1,1
6670,Front Line,2600,1981,Action,Taito,0.22,0.01,0.0,0.0,0.24,1,1
6671,Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0.0,0.0,0.24,1,1
7024,Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0.0,0.0,0.22,1,1
7025,Reactor,2600,1981,Action,Parker Bros.,0.21,0.01,0.0,0.0,0.22,1,1
7026,Crazy Climber,2600,1981,Action,Atari,0.21,0.01,0.0,0.0,0.22,1,1
7200,RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0.0,0.0,0.21,1,1
7613,International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0.0,0.0,0.19,1,1
8077,Armor Ambush,2600,1981,Action,Mattel Interactive,0.15,0.01,0.0,0.0,0.17,1,1
9185,RealSports Volleyball,2600,1981,Sports,Atari,0.12,0.01,0.0,0.0,0.13,1,1
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,2,0
1103,Dig Dug,2600,1982,Puzzle,Atari,1.52,0.1,0.0,0.02,1.64,2,0
1147,Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0.0,0.02,1.59,2,0
1686,Pole Position,2600,1982,Racing,Atari,1.1,0.07,0.0,0.01,1.18,1,1
1798,Moon Patrol,2600,1982,Shooter,Atari,1.05,0.06,0.0,0.01,1.12,1,1
1829,Jungle Hunt,2600,1982,Platform,Atari,1.03,0.06,0.0,0.01,1.1,1,1
1874,Joust,2600,1982,Platform,Atari,1.01,0.06,0.0,0.01,1.08,1,1
2345,Enduro,2600,1982,Misc,Quelle,0.81,0.05,0.0,0.01,0.87,1,1
2592,Yars' Revenge,2600,1982,Shooter,Atari,0.73,0.04,0.0,0.01,0.78,1,1
2624,Galaxian,2600,1982,Shooter,Atari,0.72,0.05,0.0,0.01,0.77,1,1
2784,Kangaroo,2600,1982,Platform,Atari,0.67,0.04,0.0,0.01,0.72,1,1
3010,Keystone Kapers,2600,1982,Action,Activision,0.62,0.04,0.0,0.01,0.66,1,1
3142,X-Man,2600,1982,Action,Universal Gamex,0.58,0.04,0.0,0.01,0.63,1,1
3192,Battlezone,2600,1982,Shooter,Atari,0.58,0.03,0.0,0.01,0.62,2,0
3193,Halloween,2600,1982,Action,Wizard Video Games,0.58,0.03,0.0,0.01,0.62,1,1
3391,Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.58,2,0
3579,The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0.0,0.01,0.55,1,1
3639,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0.0,0.01,0.54,1,1
3640,Popeye,2600,1982,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54,2,0
3897,Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0.0,0.01,0.5,1,1
3898,RealSports Tennis,2600,1982,Sports,Atari,0.46,0.03,0.0,0.01,0.5,1,1
3899,Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0.0,0.01,0.5,1,1
4716,Congo Bongo,2600,1982,Action,Sega,0.37,0.02,0.0,0.0,0.4,1,1
4812,Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.37,0.02,0.0,0.0,0.39,1,1
4906,Gravitar,2600,1982,Action,Atari,0.35,0.02,0.0,0.0,0.38,1,1
5276,Alien's Return,2600,1982,Action,ITT Family Games,0.32,0.02,0.0,0.0,0.34,1,1
5277,Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34,1,1
5498,Frankenstein's Monster,2600,1982,Action,Data Age,0.3,0.02,0.0,0.0,0.32,1,1
5620,Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0.0,0.0,0.31,1,1
6015,Polaris,2600,1982,Action,Tigervision,0.26,0.02,0.0,0.0,0.28,1,1
6169,Mr. Do!,2600,1982,Action,Coleco,0.26,0.02,0.0,0.0,0.27,1,1
6507,Porky's,2600,1982,Action,20th Century Fox Video Games,0.23,0.01,0.0,0.0,0.25,1,1
7027,Assault,2600,1982,Action,Bomb,0.21,0.01,0.0,0.0,0.22,1,1
